living_mun,commute_mun,pop,year,tot_pop_living_mun
1100,1100,572106,1985,591248
1100,1202,140,1985,591248
1100,1203,2767,1985,591248
1100,1204,260,1985,591248
1100,1205,130,1985,591248
1100,1206,108,1985,591248
1100,1207,111,1985,591248
1100,1208,63,1985,591248
1100,1209,139,1985,591248
1100,1210,861,1985,591248
1100,1211,17,1985,591248
1100,1212,46,1985,591248
1100,1213,551,1985,591248
1100,1214,45,1985,591248
1100,1215,122,1985,591248
1100,1216,37,1985,591248
1100,1217,2936,1985,591248
1100,1218,23,1985,591248
1100,1219,11,1985,591248
1100,1220,20,1985,591248
1100,1221,16,1985,591248
1100,1222,74,1985,591248
1100,1223,12,1985,591248
1100,1224,982,1985,591248
1100,1225,115,1985,591248
1100,1226,58,1985,591248
1100,1227,NA,1985,591248
1100,1228,38,1985,591248
1100,1229,25,1985,591248
1100,1230,51,1985,591248
1100,1231,849,1985,591248
1100,1233,39,1985,591248
1100,1234,2930,1985,591248
1100,1235,2914,1985,591248
1100,1236,13,1985,591248
1100,1303,561,1985,591248
1100,1304,26,1985,591248
1100,1331,NA,1985,591248
1100,1332,NA,1985,591248
1100,1333,NA,1985,591248
1100,1334,NA,1985,591248
1100,1337,NA,1985,591248
1100,1343,NA,1985,591248
1100,1345,NA,1985,591248
1100,1346,18,1985,591248
1100,1347,NA,1985,591248
1100,1361,NA,1985,591248
1100,1362,NA,1985,591248
1100,1363,NA,1985,591248
1100,1364,NA,1985,591248
1100,1367,NA,1985,591248
1100,1370,13,1985,591248
1100,1371,NA,1985,591248
1100,1391,NA,1985,591248
1100,1392,NA,1985,591248
1100,1393,NA,1985,591248
1100,1394,NA,1985,591248
1100,1395,29,1985,591248
1100,1396,NA,1985,591248
1100,1397,13,1985,591248
1100,1398,NA,1985,591248
1100,1399,15,1985,591248
1100,1400,56,1985,591248
1100,1401,32,1985,591248
1100,1402,42,1985,591248
1100,1403,42,1985,591248
1100,1404,NA,1985,591248
1100,1405,NA,1985,591248
1100,1406,NA,1985,591248
1100,1407,NA,1985,591248
1100,1408,63,1985,591248
1100,1409,NA,1985,591248
1100,1423,81,1985,591248
1100,1424,32,1985,591248
1100,1425,16,1985,591248
1100,1427,36,1985,591248
1100,1428,117,1985,591248
1100,1429,83,1985,591248
1100,1430,14,1985,591248
1100,1431,NA,1985,591248
1100,1432,NA,1985,591248
1100,1433,NA,1985,591248
1100,1434,NA,1985,591248
1100,1436,NA,1985,591248
1100,1437,NA,1985,591248
1100,1438,11,1985,591248
1100,1452,NA,1985,591248
1100,1454,NA,1985,591248
1100,1455,NA,1985,591248
1100,1456,NA,1985,591248
1100,1457,NA,1985,591248
1100,1458,NA,1985,591248
1100,1459,NA,1985,591248
1100,1460,NA,1985,591248
1100,1461,NA,1985,591248
1100,1462,NA,1985,591248
1100,1463,26,1985,591248
1100,1464,NA,1985,591248
1100,1468,NA,1985,591248
1100,1469,NA,1985,591248
1100,1470,NA,1985,591248
1100,1471,NA,1985,591248
1100,1472,NA,1985,591248
1100,1481,NA,1985,591248
1100,1482,NA,1985,591248
1100,1483,NA,1985,591248
1100,1484,NA,1985,591248
1100,1485,NA,1985,591248
1100,1486,NA,1985,591248
1100,1511,NA,1985,591248
1100,1512,NA,1985,591248
1100,1513,NA,1985,591248
1100,1514,12,1985,591248
1100,1516,NA,1985,591248
1100,1517,NA,1985,591248
1100,1518,NA,1985,591248
1100,1520,NA,1985,591248
1100,1543,NA,1985,591248
1100,1544,NA,1985,591248
1100,1545,NA,1985,591248
1100,1546,NA,1985,591248
1100,1547,NA,1985,591248
1100,1549,NA,1985,591248
1100,1552,NA,1985,591248
1100,1555,NA,1985,591248
1100,1559,NA,1985,591248
1100,1560,NA,1985,591248
1100,1563,NA,1985,591248
1100,1564,NA,1985,591248
1100,1571,NA,1985,591248
1100,1575,NA,1985,591248
1100,1578,35,1985,591248
1100,1581,17,1985,591248
1100,1584,18,1985,591248
1100,1585,28,1985,591248
1100,1586,15,1985,591248
1100,1601,41,1985,591248
1100,1602,13,1985,591248
1100,1604,NA,1985,591248
1100,1607,28,1985,591248
1100,1608,NA,1985,591248
1100,1609,NA,1985,591248
1100,1610,67,1985,591248
1100,1631,NA,1985,591248
1100,1632,NA,1985,591248
1100,1633,NA,1985,591248
1100,1634,NA,1985,591248
1100,1635,13,1985,591248
1100,1636,NA,1985,591248
1100,1637,NA,1985,591248
1100,1638,NA,1985,591248
1100,1641,NA,1985,591248
1100,1642,NA,1985,591248
1100,1643,NA,1985,591248
1100,1644,NA,1985,591248
1100,1645,NA,1985,591248
1100,1647,NA,1985,591248
1100,1649,NA,1985,591248
1100,1661,NA,1985,591248
1100,1662,NA,1985,591248
1100,1663,NA,1985,591248
1100,1664,NA,1985,591248
1100,1665,NA,1985,591248
1100,1668,NA,1985,591248
1100,1691,NA,1985,591248
1100,1692,NA,1985,591248
1100,1693,NA,1985,591248
1100,1694,NA,1985,591248
1100,2201,NA,1985,591248
1100,2202,NA,1985,591248
1100,2203,12,1985,591248
1100,2204,NA,1985,591248
1100,2205,NA,1985,591248
1100,2207,NA,1985,591248
1100,2408,NA,1985,591248
1100,3201,NA,1985,591248
1100,3202,NA,1985,591248
